Rssi,Riding
-69,1
-69,1
-58,1
-63,1
-68,1
-67,1
-58,1
-68,1
-57,1
-58,1
-68,1
-64,1
-70,1
-67,1
-58,1
-59,1
-67,1
-68,1
-68,1
-54,1
-67,1
-58,1
-53,1
-72,1
-63,1
-69,1
-68,1
-60,1
-66,1
-70,1
-66,1
-56,1
-68,1
-56,1
-61,1
-70,1
-61,1
-65,1
-57,1
-62,1
-68,1
-67,1
-58,1
-51,1
-57,1
-69,1
-70,1
-72,1
-66,1
-62,1
-68,1
-85,1
-64,1
-71,1
-68,1
-64,1
-74,1
-72,1
-61,1
-67,1
-75,1
-54,1
-60,1
-79,1
-69,1
-70,1
-60,1
-62,1
-53,1
-69,1
-53,1
-74,1
-71,1
-60,1
-73,1
-57,1
-69,1
-57,1
-63,1
-67,1
-70,1
-68,1
-68,1
-79,1
-58,1
-62,1
-55,1
-67,1
-64,1
-64,1
-69,1
-62,1
-59,1
-69,1
-69,1
-69,1
-68,1
-70,1
-70,1
-62,1
-69,1
-69,1
-72,1
-58,1
-70,1
-56,1
-67,1
-70,1
-68,1
-68,1
-67,1
-67,1
-68,1
-60,1
-66,1
-54,1
-64,1
-55,1
-54,1
-75,1
-57,1
-72,1
-66,1
-60,1
-59,1
-56,1
-72,1
-60,1
-59,1
-65,1
-66,1
-53,1
-69,1
-57,1
-73,1
-55,1
-68,1
-68,1
-72,1
-68,1
-71,1
-57,1
-62,1
-68,1
-71,1
-56,1
-62,1
-69,1
-55,1
-69,1
-63,1
-54,1
-69,1
-71,1
-62,1
-57,1
-72,1
-67,1
-64,1
-53,1
-63,1
-70,1
-68,1
-67,1
-72,1
-53,1
-61,1
-58,1
-76,1
-61,1
-67,1
-54,1
-69,1
-68,1
-69,1
-65,1
-66,1
-72,1
-67,1
-64,1
-54,1
-61,1
-61,1
-68,1
-66,1
-67,1
-65,1
-68,1
-55,1
-61,1
-66,1
-68,1
-64,1
-68,1
-56,1
-68,1
-57,1
-65,1
-67,1
-69,1
-68,1
-61,1
-69,1
-67,1
-68,1
-69,1
-54,1
-59,1
-65,1
-68,1
-69,1
-71,1
-64,1
-55,1
-66,1
-62,1
-67,1
-62,1
-68,1
-67,1
-68,1
-64,1
-60,1
-61,1
-67,1
-66,1
-66,1
-56,1
-58,1
-61,1
-68,1
-67,1
-55,1
-67,1
-61,1
-77,1
-57,1
-67,1
-61,1
-74,1
-58,1
-61,1
-67,1
-55,1
-65,1
-66,1
-73,1
-56,1
-52,1
-65,1
-74,1
-62,1
-59,1
-65,1
-58,1
-64,1
-65,1
-68,1
-63,1
-63,1
-73,1
-65,1
-64,1
-59,1
-76,1
-67,1
-69,1
-74,1
-68,1
-77,1
-65,1
-54,1
-69,1
-68,1
-63,1
-65,1
-54,1
-66,1
-66,1
-64,1
-70,1
-67,1
-63,1
-70,1
-54,1
-59,1
-65,1
-69,1
-62,1
-57,1
-61,1
-69,1
-61,1
-59,1
-69,1
-68,1
-69,1
-65,1
-69,1
-61,1
